epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,261.016,1.08449,2.01523,2.47338,1.37722,0,0.45347,0.37566,0.38073,0.25541,0.46742,0.37723,0.38802,0.23807,1.08403,2.00504,2.46293,1.37976,0,0.000118824,0.000118824,0.000118824
2,524.241,0.99631,1.75824,1.64596,1.3061,0,0.49541,0.3931,0.38607,0.26221,0.49951,0.39074,0.38487,0.23718,1.1247,2.19119,2.29339,1.433,0,0.000233115,0.000233115,0.000233115
3,792.484,1.00307,1.75229,1.50116,1.31086,0,0.5542,0.47368,0.50175,0.35398,0.5776,0.45568,0.49311,0.30709,1.0899,2.1737,1.90901,1.38695,0,0.000342693,0.000342693,0.000342693
4,1062.13,0.95418,1.66357,1.28435,1.25811,0,0.63874,0.48903,0.55915,0.3837,0.64709,0.48154,0.55275,0.34419,1.14754,2.22032,1.64275,1.4836,0,0.000335794,0.000335794,0.000335794
5,1332.06,0.94027,1.63125,1.17451,1.25665,0,0.60207,0.48549,0.51066,0.35481,0.60684,0.48877,0.51377,0.33386,1.10054,2.04239,1.77368,1.41229,0,0.000328726,0.000328726,0.000328726
6,1601.33,0.90475,1.5451,1.15278,1.22424,0,0.66225,0.51634,0.55122,0.39162,0.66818,0.51511,0.54838,0.34696,1.10179,2.09759,1.63723,1.39107,0,0.000321657,0.000321657,0.000321657
7,1870.54,0.90141,1.54527,1.08215,1.22441,0,0.57303,0.47237,0.5374,0.38256,0.58209,0.4717,0.53907,0.35411,1.13419,2.07355,1.60955,1.41746,0,0.000314588,0.000314588,0.000314588
8,2138.02,0.8684,1.49611,1.02222,1.20935,0,0.58731,0.53909,0.56753,0.41319,0.59376,0.54065,0.56742,0.37473,1.08172,1.96868,1.60809,1.39243,0,0.00030752,0.00030752,0.00030752
9,2406.44,0.86004,1.48613,0.9641,1.18773,0,0.65375,0.53399,0.56377,0.40769,0.66744,0.52411,0.56653,0.37147,1.0728,2.07131,1.49342,1.37221,0,0.000300451,0.000300451,0.000300451
10,2674.02,0.84543,1.452,0.93455,1.1922,0,0.6106,0.51051,0.56508,0.41168,0.61346,0.51212,0.56433,0.3776,1.07157,2.12244,1.52317,1.38774,0,0.000293383,0.000293383,0.000293383
